input_size,trial,comparisons,swaps,time_ns
100,1,0,0,69200
100,2,0,0,58800
100,3,0,0,65000
100,4,0,0,54700
100,5,0,0,58300
500,1,0,0,363200
500,2,0,0,365200
500,3,0,0,411700
500,4,0,0,412700
500,5,0,0,388800
1000,1,0,0,1065300
1000,2,0,0,950800
1000,3,0,0,575200
1000,4,0,0,440300
1000,5,0,0,584100
5000,1,0,0,1760400
5000,2,0,0,2085400
5000,3,0,0,2786100
5000,4,0,0,839900
5000,5,0,0,4370700
10000,1,0,0,1308500
10000,2,0,0,1467500
10000,3,0,0,1174400
10000,4,0,0,1261500
10000,5,0,0,1626500
