input_size,trial,comparisons,swaps,time_ns
100,1,0,0,60400
100,2,0,0,24300
100,3,0,0,16400
100,4,0,0,15900
100,5,0,0,16500
500,1,0,0,80900
500,2,0,0,331200
500,3,0,0,212400
500,4,0,0,68400
500,5,0,0,73300
1000,1,0,0,150200
1000,2,0,0,161800
1000,3,0,0,149100
1000,4,0,0,143200
1000,5,0,0,141900
5000,1,0,0,745600
5000,2,0,0,700600
5000,3,0,0,715500
5000,4,0,0,618500
5000,5,0,0,879700
10000,1,0,0,408800
10000,2,0,0,494600
10000,3,0,0,366400
10000,4,0,0,261700
10000,5,0,0,241200
